,Accident_Severity,light_Darkness - lights lit,light_Darkness - no lighting,light_Daylight,road_Dual carriageway,road_On/off ramp,road_One way street,road_Roundabout,road_Single carriageway,speed_Over 40 km/s,speed_Under 40 km/s,area_Rural,area_Urban,age_Adolescent,age_Adult,age_Senior,vehicle_Bike,vehicle_Car,vehicle_Goods,vehicle_Motorcycle
15767,Fatal,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
16193,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0
16245,Fatal,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
16264,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
16533,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
16948,Fatal,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0
17004,Fatal,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
17276,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
17281,Fatal,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0
17396,Fatal,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0
17577,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0
17733,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
18055,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0
18094,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
18320,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0
18665,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0
18686,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0
18968,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0
19090,Fatal,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0
19424,Fatal,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
19596,Fatal,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0
19769,Fatal,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0
19816,Fatal,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
19908,Fatal,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
19918,Fatal,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
20068,Fatal,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
20127,Fatal,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
20169,Fatal,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
20170,Fatal,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
20171,Fatal,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
20231,Fatal,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0
20283,Fatal,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
20284,Fatal,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
20409,Fatal,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
20488,Fatal,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0
20490,Fatal,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0
20501,Fatal,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1
20611,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0
20724,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
20725,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
20773,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
20835,Fatal,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
20857,Fatal,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0
20884,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1
20885,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0
21046,Fatal,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0
21144,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0
21145,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0
21152,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
21312,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
21323,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0
21352,Fatal,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0
21427,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
21491,Fatal,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
21492,Fatal,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
